Freq.	V(n001)/I(C1)
2.69153480392689e+005	(-4.58696297358394e+000dB,-8.89312191765792e+001°)
2.75422870333814e+005	(-4.78806550572906e+000dB,-8.89061822330867e+001°)
2.81838293126442e+005	(-4.98922012855709e+000dB,-8.88805519213275e+001°)
2.88403150312657e+005	(-5.19042930958920e+000dB,-8.88543136869723e+001°)
2.95120922666635e+005	(-5.39169563385322e+000dB,-8.88274525836740e+001°)
3.01995172040198e+005	(-5.59302180953938e+000dB,-8.87999532600737e+001°)
3.09029543251356e+005	(-5.79441067393417e+000dB,-8.87717999462205e+001°)
3.16227766016834e+005	(-5.99586519964636e+000dB,-8.87429764393670e+001°)
3.23593656929625e+005	(-6.19738850114028e+000dB,-8.87134660891054e+001°)
3.31131121482587e+005	(-6.39898384159215e+000dB,-8.86832517818022e+001°)
3.38844156139199e+005	(-6.60065464008618e+000dB,-8.86523159242893e+001°)
3.46736850452528e+005	(-6.80240447916805e+000dB,-8.86206404267644e+001°)
